agent_id,name,region,performance_score,tenure_years,active,email,phone,supervisor,branch
AGT10000,Edward Willis,East Richardchester,82.40896240121307,13,yes,crystal95@example.com,852-423-4005x0205,Ronnie Martinez,North Karen
AGT10001,Lisa Diaz,East Christopher,86.84227705147214,19,no,qsantos@example.com,788.414.5498,Amy Baker,South Robert
AGT10002,Dorothy Alexander,Lake Nicholas,60.574121921759286,3,yes,michaelsheri@example.net,571-790-2136,Susan Douglas,Port George
AGT10003,John Kelly,Pamelastad,61.63583332561881,8,no,timothyholmes@example.com,(810)206-9144x944,David Lopez,Karenmouth
AGT10004,Steven Wright,East Jackbury,73.54804824079369,14,no,charlesallen@example.net,(448)777-4679,Mark Stewart,Thompsonstad
AGT10005,Sean Miller,New Michael,74.37864488632279,9,yes,nlopez@example.org,(956)618-1335x09012,Sean Taylor,East Jeffreyborough
AGT10006,Ryan Watkins,Port Cristian,52.741925822567815,12,yes,bergbrian@example.com,001-702-656-1692x90950,Deanna Barnes,West Aaronville
AGT10007,Nicole Young,North James,81.4520510840585,17,yes,ericajohnson@example.org,679.223.8966x03709,David Montgomery,Michelleberg
AGT10008,Justin Taylor,South Melissa,74.11365625803326,12,yes,theresa83@example.net,001-665-305-7951x84786,Debbie Jones,New Calvinside
AGT10009,Gregory Lopez,Parkchester,76.50973589019301,9,yes,brichardson@example.org,(436)382-2708x316,Michael Huffman,Contrerasview
AGT10010,Eric Ortega,East Annaville,55.24732752925597,15,yes,christopherali@example.org,308.926.1240,Beth Cox,New Nicholasfort
AGT10011,Austin Gonzalez,Ambershire,,15,no,timothy53@example.net,001-361-226-7609x80133,Krystal Taylor,Port Jeffery
AGT10012,Amy Huerta,East Robintown,78.36689567699908,9,no,allenronald@example.org,378-408-2801x61844,Tammy Norris,South Joseph
AGT10013,Jennifer Hall,Shannonhaven,77.32922160938143,1,yes,aliciakelly@example.org,7709902825,Emily Dixon,South Sarah
AGT10014,Robyn Cervantes,Jessicatown,63.77114854688116,9,no,kevin19@example.net,373.823.6163,Laura Murphy,Lewisfort
AGT10015,Jordan Melendez,West Margaret,78.17333296212483,8,no,cathymartinez@example.net,541-379-7365x337,Charles Norton,New Derekshire
AGT10016,Jonathan Johnson,West Reneemouth,68.21965519901768,10,no,james63@example.org,001-998-360-4292x1243,Connie White,Williamsburgh
AGT10017,Nathan Jensen,Rodriguezside,95.89390372042462,1,no,anthonydavis@example.org,686.279.6562,Christine Calderon,Port Derrick
AGT10018,Robert Manning,Larsenshire,75.86574922301408,7,yes,johnnybrown@example.net,427.413.3727,Erin Ayala,Pricestad
AGT10019,Erin Andrade,Brownstad,70.45426021509347,13,yes,vanessabrown@example.org,(616)936-7606,Jeremy Clark,Lake Willie
AGT10020,Mary Jenkins,South Joshua,57.197329703997106,5,yes,joshua51@example.com,+1-938-551-1538x5279,James Larson,North Michelle
AGT10021,William Howe,North Sethfurt,89.33750087084664,15,no,shernandez@example.com,001-973-308-6169x0587,Charles Fischer,Lake Jessicaland
AGT10022,Sheri Rogers,East Alexandra,76.61355711035743,9,yes,stephencastillo@example.com,+1-313-698-1119x28305,Brenda Moyer,East Nicholastown
AGT10023,Kimberly Hansen,Craigborough,69.74160867736187,11,yes,thoward@example.net,6523226509,Michael Carter,Pamelaborough
AGT10024,Cory Wright,Priscillaberg,71.79628370830393,8,no,justinhodge@example.com,+1-838-657-2181x4920,Johnny Hughes,East Sarafurt
AGT10025,Erica Johnston,Lamfurt,61.76183584869717,10,yes,kcannon@example.org,3379359835,Jennifer Carter,North Steven
AGT10026,Jennifer Barnes,New Courtney,66.22682992684555,7,no,marynorman@example.org,8606276893,Natalie Burch,Brownfort
AGT10027,Dawn Ellis MD,West Joshua,91.85086874226573,4,yes,shawnponce@example.com,(596)803-1939,James Hernandez,Robertbury
AGT10028,Antonio Harris,East Julieville,74.5638213964833,5,no,chall@example.com,001-538-637-6805x445,Michelle Petty,West Taylor
AGT10029,James James DVM,Rodriguezbury,86.72693295967717,6,yes,alvaradobryan@example.org,650.844.0959,Mary Hanson,South Hannah
AGT10030,Christine Moreno,West Susan,80.4593071851259,4,yes,robert81@example.net,9695868087,Robert Spencer,Lauraberg
AGT10031,Timothy Kim,North Andrew,67.62423121368377,18,no,michael06@example.net,401.881.9702x836,Shelby Garza,South Kristiehaven
AGT10032,Jessica Ibarra,West Markbury,,9,no,cmyers@example.org,(361)937-6927,Kyle Curtis,Delacruzport
AGT10033,Ethan Clark,Christopherbury,,4,yes,christina76@example.org,(592)362-1042x32881,Blake Chavez,West Courtneyberg
AGT10034,Victoria Garcia,Glasstown,59.49645163325482,1,yes,egonzalez@example.com,+1-463-349-4391x78358,Christopher Ramirez,Brianville
AGT10035,Douglas Flowers,Turnerport,70.05819674059683,14,yes,jeffrey59@example.com,001-395-308-7296,Javier Green,West Emilytown
AGT10036,Margaret Lopez,Elizabethside,73.4572709864875,18,no,monica23@example.com,(635)361-5235x4971,Lindsay Bass,Curtishaven
AGT10037,Jessica Kennedy,East Leahtown,74.64530560548539,1,yes,deborah50@example.org,3434038831,Miguel Fox,Port David
AGT10038,Jennifer Sanchez,North Jessicaland,72.98041876257619,17,no,joy68@example.org,+1-270-207-7422x262,Todd Wilson,West Bryan
AGT10039,Amanda Wright,Bishopville,73.08347657595532,5,yes,rachel28@example.org,(951)227-2183x1664,Allen Pearson,Gloriachester
AGT10040,Joseph Griffin,Port Mark,76.48916824007026,2,no,sfreeman@example.org,001-328-979-0843x0719,Benjamin Bond,Lake Candacemouth
AGT10041,Paul Combs,Charlesland,,18,no,cowanshirley@example.com,665-799-1153x0780,William Hill,Davistown
AGT10042,Matthew Jackson,Middletonhaven,80.12074375197535,8,no,jonathanmoore@example.org,717-960-3347x77967,Susan Ruiz,Valenciafurt
AGT10043,Angela Tanner,Lake Tylerchester,74.95899368859527,1,no,darinmitchell@example.org,(361)867-9523x6127,Michael Morrison,North Courtney
AGT10044,Laura Wilson,North Troy,71.73931937662753,1,no,eddie02@example.org,001-319-998-9861x78103,Michael Rowland,North David
AGT10045,Amy Brown,Lake Kenneth,81.12053849300807,17,yes,chamberswanda@example.net,380-422-5138,David Mooney,East Amy
AGT10046,Jack Daniels,North Jessica,94.82894678146837,15,yes,gthomas@example.org,(954)734-5228x67529,Katherine Ruiz,East Jason
AGT10047,Stephanie Simon,Robertsmouth,71.0231228718389,7,yes,roy83@example.org,001-416-893-1947x0198,Sean Weaver,Lake Noah
AGT10048,Michelle Garrett,Karimouth,68.20528333480867,8,yes,stevenfarley@example.com,001-576-972-8191,Bethany Olson,Gibsonborough
AGT10049,Debra Morrison DVM,Lake Michelleburgh,67.20373011410418,9,yes,yhernandez@example.net,225.431.7619x4440,Stephanie Murray,Savannahstad
AGT10050,Thomas Carroll,Lake Brandonfort,52.212799940710255,16,yes,justin28@example.org,8629982238,Alisha Torres,South Stephanieton
AGT10051,Randy Beard,Taylorside,71.87910207219988,3,no,zdavidson@example.com,446.706.4383x79491,Karen Christensen,Henryberg
AGT10052,Stephanie Lawrence,Perezland,79.63476288905885,7,no,jeff74@example.com,+1-436-810-2937x1388,Amy Wright,Cristianshire
AGT10053,Gregory Shea,Port Danielberg,80.36032336483572,3,yes,nnelson@example.net,252.644.0530,Allison Williams,North Andrew
AGT10054,Kirsten Wells,North Grant,60.418042670633454,9,yes,robert38@example.org,617.936.2860x97164,Jason Williamson,Riosstad
