claim_id,suspicious_score,is_fraud,flagged_by,review_status,review_date,reviewer,notes,risk_level,escalated
CLM100000,0.7954122160574615,0,system,cleared,2024-10-31,Janet Bradley,Campaign name walk season.,low,yes
CLM100001,0.5736421947139746,0,audit,confirmed,2024-12-07,Wayne Gordon,Side early though from oil other right.,high,no
CLM100002,0.282114433316614,0,audit,cleared,2025-03-14,Jennifer Marshall,Stop real most movie marriage ball.,high,yes
CLM100003,0.29919824524901306,0,audit,confirmed,2025-03-25,Marissa Powell,Nothing tend tree less often significant student.,medium,yes
CLM100004,0.8579603596139761,0,manual,confirmed,2024-12-28,David Conway,Student clear money near process lot.,high,no
CLM100005,0.4706718097403164,0,audit,pending,2024-12-02,Chris Gallegos,Receive prevent man student matter.,low,yes
CLM100006,0.14976462479767616,0,audit,pending,2025-02-25,Victoria Ramsey,Dog close situation several.,low,yes
CLM100007,0.6258532168587175,0,manual,pending,2024-08-01,Jennifer Harris,Coach image white his until.,low,no
CLM100008,0.924288886169617,0,manual,confirmed,2024-11-25,Brittany Wright,Fire page staff Mrs.,medium,yes
CLM100009,0.026165528087067624,0,manual,confirmed,2024-10-02,Grace Barnes,War face just huge final.,medium,yes
CLM100010,0.21881660416437343,0,manual,pending,2024-11-22,Sharon Johnson,Question almost consider reality that.,medium,no
CLM100011,0.009940605796504798,0,manual,pending,2025-06-26,Joseph Hardy,Yet baby because machine discussion.,low,yes
CLM100012,0.10608852581667472,0,manual,cleared,2024-08-16,Susan Warren,Again suffer would beyond since design card.,low,no
CLM100013,0.7266310737263115,0,manual,cleared,2025-07-07,Shelley Brown,Region according thought themselves place.,medium,yes
CLM100014,0.2793748405220925,0,audit,pending,2024-09-26,Sandra Wood,Popular quite whom official system simple.,medium,yes
CLM100015,0.11215168500809913,0,system,confirmed,2025-01-26,Gregory Mitchell,Cut animal various back at one away.,high,no
CLM100016,0.36131115753166143,0,system,confirmed,2025-07-11,Stuart Delgado,First more particular local.,medium,yes
CLM100017,0.5282359119803064,0,audit,pending,2025-02-07,Emma Allen,Young story box probably politics significant.,low,yes
CLM100018,0.16596434110822045,0,audit,cleared,2025-01-01,Pam Robles,Report kind ability voice station cut.,medium,no
CLM100019,0.32994760937020107,0,system,confirmed,2024-09-01,Alex Guzman,Than give attack picture sound blue page.,medium,yes
CLM100020,0.1233504780714606,0,audit,pending,2025-07-01,Raymond Simmons,Style there magazine learn consider.,low,yes
CLM100021,0.8727435862069897,0,audit,cleared,2024-10-03,Doris Palmer,Effect soon similar actually positive.,low,yes
CLM100022,0.42867043057385845,0,manual,confirmed,2025-05-29,Erin Underwood,Room fine officer discover.,medium,no
CLM100023,0.8003686802014208,0,audit,cleared,2024-08-31,Dustin Barber,Three discussion I daughter than shake top.,medium,yes
CLM100024,0.6641061909509661,0,manual,cleared,2025-04-06,Matthew Taylor,Support language part seek view laugh.,medium,yes
